ID,Block_Name,Block_RV,Estate_ID
"SWKB0316","Chandler Way 69; Chandler Way 71 / Flats 1-9(C); Chandler Way 73; Savannah Close 1",72,"SWKE0066"
"SWKB0317","Charles Coveney Road 18 / Flats 1-8(C)",42,"SWKE0067"
"SWKB0318","Charles Mackenzie House, Linsey Street 1-33(C)",180,"SWKE0068"
"SWKB0319","Chartes House, Abbey Street 1-32(C)",161,"SWKE0316"
"SWKB0320","Chartham House, Weston Street 24A & 29A, 1-33(C)",214,"SWKE0329"
"SWKB0321","Chatham House, Mcneil Road 1-18(C)",144,"SWKE0210"
"SWKB0322","Chatham Street 10-16(E)",25,"SWKE0295"
"SWKB0323","Chatham Street 133A-133F(C)",33,"SWKE0072"
"SWKB0324","Chatham Street 145A-145F(C)",33,"SWKE0073"
"SWKB0325","Chatham Street 151A-151F(C)",31,"SWKE0074"
"SWKB0326","Chatham Street 157A-157F(C)",33,"SWKE0075"
"SWKB0327","Chatham Street 18-24(E)",25,"SWKE0295"
"SWKB0328","Chatham Street 26-32(E)",25,"SWKE0295"
"SWKB0329","Chatham Street 2-8(E)",24,"SWKE0295"
"SWKB0330","Chatham Street 67A-67F(C)",33,"SWKE0069"
"SWKB0331","Chatham Street 83A-83F(C)",36,"SWKE0070"
"SWKB0332","Chatham Street 89A-89F(C)",33,"SWKE0071"
"SWKB0333","Chelsfield House, Congreve Street 1-25(C)",135,"SWKE0087"
"SWKB0334","Cherry Garden House, Cherry Garden Street 1-16(C); Cherry Garden Street 37",93,"SWKE0076"
"SWKB0335","Cherry Garden Street 38-66(E)",91,"SWKE0077"
"SWKB0336","Cherry Garden Street 68-142(E)",212,"SWKE0078"
"SWKB0337","Chilham House, Law Street 14A & 1-29(C)",184,"SWKE0329"
"SWKB0338","Chilton Grove 108-136(E)",100,"SWKE0273"
"SWKB0339","Chilton Grove 1-39(O)",114,"SWKE0273"
"SWKB0340","Chilton Grove 2-68(E)",208,"SWKE0273"
"SWKB0341","Chilton Grove 70-106(E)",108,"SWKE0273"
"SWKB0342","Churchmead, Camberwell Road 1-31(C)",171,"SWKE0060"
"SWKB0343","Churchward House, Lorrimore Road 1-10(C)",75,"SWKE0041"
