BD CODE,BD NAME,BD RATEABLE VALUE
BD000560,BURTON LANE ,302
BD000561,BURTON LANE ,302
BD000562,BURTON LANE ,266
BD000563,SORRELL CLOSE ,266
BD000564,SORRELL CLOSE ,266
BD000565,SORRELL CLOSE ,266
BD000566,LORD HOLLAND LANE,302
BD000567,LORD HOLLAND LANE,322
BD000568,LORD HOLLAND LANE,322
BD000569,LORD HOLLAND LANE,302
BD000570,LORD HOLLAND LANE,302
BD000571,LORD HOLLAND LANE,302
BD000572,HILDA TERRACE,302
BD000573,CHURCH GREEN,302
BD000574,CHURCH GREEN,302
BD000575,CHURCH GREEN,266
BD000576,CHURCH GREEN,266
BD000577,CHURCH GREEN,302
BD000578,CHURCH GREEN 17,302
BD000579,CHURCH GREEN 20,302
BD000580,NORVAL GREEN,302
BD000581,EVESHAM WALK 1-6!88-93,2856
BD000582,EVESHAM WALK 7-87 CONS,19340
BD000583,URLWIN WALK 1-77,18441
BD000584,FOUNTAIN PLACE ,318
BD000586,FOUNTAIN PLACE ,359
BD000587,FOUNTAIN PLACE ,318
BD000588,FOUNTAIN PLACE ,330
BD000589,ST LAWRENCE WAY ,422
BD000590,ST LAWRENCE WAY ,372
BD000591,FOUNTAIN PLACE ,330
BD000592,FOUNTAIN PLACE ,359
BD000600,ST LAWRENCE WAY ,338
BD000601,ST LAWRENCE WAY ,422
BD000602,ST LAWRENCE WAY ,372
BD000603,ST LAWRENCE WAY ,372
BD000604,ST LAWRENCE WAY ,372
BD000605,ST LAWRENCE WAY ,422
BD000606,ST LAWRENCE WAY ,422
BD000607,ST LAWRENCE WAY ,372
BD000608,ST LAWRENCE WAY ,372
BD000611,FAIRBAIRN GREEN,330
BD000612,FAIRBAIRN GREEN,330
BD000613,FAIRBAIRN GREEN,330
BD000614,FAIRBAIRN GREEN,318
BD000629,HAMMELTON GREEN 1-6,1836
BD000630,HAMMELTON GREEN 7-12,1836
BD000631,HAMMELTON GREEN,330
BD000632,HAMMELTON GREEN,330
BD000633,HAMMELTON GREEN,330
BD000634,HAMMELTON GREEN,330
BD000635,HAMMELTON GREEN,359
BD000636,MELBOURNE MEWS,392
BD000637,MELBOURNE MEWS,392
BD000638,MELBOURNE MEWS,392
BD000639,MELBOURNE MEWS,290
BD000640,MELBOURNE MEWS,290
BD000641,MELBOURNE MEWS,392
BD000642,MELBOURNE MEWS,392
BD000643,MELBOURNE MEWS,392
BD000644,CARLTON COURT,318
BD000645,CARLTON COURT,318
