Property Ref,Bed Size,Block Reference,Estate Reference,Block Definition Code (Used for Service Charges)
648650,0,STR001048,EA108,
648652,0,STR001048,EA108,BD002742
648655,0,STR001048,EA108,BD002742
648656,0,STR001048,EA108,BD002742
648658,0,STR001048,EA108,BD002742
648661,0,STR001048,EA108,
648240,0,STR000520,EA084,BD002728
645564,0,STR000726,EA041,
645571,0,STR000726,EA041,BD002622
645575,0,STR000726,EA041,
620625,0,STR000428,EA115,BD001073
620633,0,STR000428,EA115,
643998,0,STR011583,EA013,BD002444
643970,0,STR011588,EA013,BD002443
643977,0,STR011589,EA013,BD002443
644476,0,STR001049,ENBR7,BD002475
648663,0,STR001050,EA108,
648664,0,STR001050,EA108,
648665,0,STR001050,EA108,
648666,0,STR001050,EA108,
648667,0,STR001050,EA108,BD002743
648668,0,STR001050,EA108,BD002743
648669,0,STR001050,EA108,
648670,0,STR001050,EA108,
648671,0,STR001050,EA108,
648672,0,STR001050,EA108,
648673,0,STR001050,EA108,
648674,0,STR001050,EA108,
648675,0,STR001050,EA108,
648676,0,STR001050,EA108,
648677,0,STR001050,EA108,
648678,0,STR001050,EA108,
648679,0,STR001050,EA108,
617993,0,STR004357,ENBR3,
619129,0,STR004355,ENBR3,BD000928
644082,0,STR000036,EA039,
644086,0,STR000036,EA039,
644090,0,STR000036,EA039,
644096,0,STR000036,EA039,
644102,0,STR000036,EA039,
644107,0,STR000036,EA039,
644180,0,STR000036,EA039,BD002452
644186,0,STR000036,EA039,
644192,0,STR000036,EA039,
644198,0,STR000036,EA039,BD002452
644204,0,STR000036,EA039,
644210,0,STR000036,EA039,
644235,0,STR000036,EA039,BD002452
644236,0,STR000036,EA039,
644239,0,STR000036,EA039,
644240,0,STR000036,EA039,
644243,0,STR000036,EA039,
644244,0,STR000036,EA039,
644248,0,STR000036,EA039,
644251,0,STR000036,EA039,
644252,0,STR000036,EA039,BD002452
620828,0,STR000363,EA115,
619148,0,STR017366,ENBR5,BD000932
621710,0,STR003973,EA053,BD001126
620647,0,STR000699,EA115,BD001074
618007,0,STR004367,ENBR7,BD000759
645648,0,STR000811,EA041,
645664,0,STR000811,EA041,
618012,0,STR004375,ENBR7,BD000762
618013,0,STR004375,ENBR7,BD000762
648691,0,STR000603,EA108,BD002744
619519,0,STR001789,ENBR3,
642275,0,STR005747,EA015,BD002366
644428,0,STR006265,ENBR1,
664698,0,STR006169,ENBR1,BD003321
686478,0,STR006265,ENBR1,BD003417
687038,0,STR006169,ENBR1,BD003321
687355,0,STR006265,ENBR1,BD003417
645606,0,STR000527,EA041,
645609,0,STR000527,EA041,
664704,0,STR017284,EA123,BD000322
640228,0,STR000609,EA083,
640229,0,STR000609,EA083,
640230,0,STR000609,EA083,BD002204
640231,0,STR000609,EA083,
640232,0,STR000609,EA083,
640233,0,STR000609,EA083,
640234,0,STR000609,EA083,BD002204
640235,0,STR000609,EA083,BD002204
640236,0,STR000609,EA083,BD002204
640237,0,STR000609,EA083,
